ASRG;Event;Presenter;Organization;Type;Status;Start
ASRG-WORLD;Webinar 28: apmaIAC: Securing the COMPLETE Mobility Ecosystem;Colin and AJ Khan;APMA;Webinar;Confirmed;22.10.20
ASRG-CAI;Automotive CTF;;CyberTalents;CTF;Confirmed;17.10.20
ASRG-WORLD;Webinar 29: Putting the Brakes on Cyberattacks Targeting Connected Cars;Ken Munro;Pen Test Partners;Webinar;In Plan;29.10.20
ASRG-D;Converge Detroit;;;Conference;In Plan;05.11.20
ASRG-WORLD;Webinar 30: ? ;;Moabi;Webinar;Confirmed;05.11.20
ASRG-WORLD;Webinar 31: ?;Anna Stylianou;SBD Automotive;Webinar;In Plan;12.11.20
ASRG-S;Meeting 38: xxx;;;Meeting;Open;17.11.20
ASRG-WORLD;Webinar 32: ?;Justin Black;Riscure;Webinar;In Plan;19.11.20
ASRG-WORLD;Webinar 33: TBD;;Argus;Webinar;Confirmed;26.11.20
ASRG-CAI;10th Meeting ;;ITI;Meeting;In Plan;28.11.20
ASRG-WORLD;Webinar 34:;Thomas Liedtke;Kugler Maag Cie GmbH;Webinar;In Plan;03.12.20
ASRG-S;Meeting 39: xxx;;;Meeting;Open;08.12.20
ASRG-WORLD;Webinar 35:;;;Webinar;Open;10.12.20
ASRG-WORLD;Webinar 36:;;;Webinar;Open;17.12.20
ASRG-CAI;11th Meeting  ;;ITI;Workshop;In Plan;26.12.20
ASRG-D;Grrcon;;;Conference;Open;TBD
ASRG-D;B-Sides Detroit 2020;;;Conference;Open;TBD
"ASRG-D
";17. TBD;Allan Konar/Dan Sahar;Upstream;Meeting;Cancelled;TBD
ASRG-D;18. TBD;Brandon Barry/Aaron Newman;Block Harbor Cybersecurity/Keysight Technologies;Meeting;Cancelled;TBD
ASRG-FRA;Meeting 01: Towards Digital Sovereignty By Open Source (Hardware);Dr. Steffen Reith;Hochschule RheinMain;Meeting;Cancelled;tbd
ASRG-FRA;Meeting 02: The Evolution from a Fixed to a Flexible Hardware Security Module Architecture in Microcontrollers;Georg Schmalz;Cypress;Meeting;Cancelled;tbd
ASRG-TLV;CyberWeek;;;Conference;Cancelled;
ASRG-D;Defcon 2020;;;Conference;Cancelled;
ASRG-D;Blackhat 2020 ;;;Conference;Cancelled;
ASRG-D;Cyber Auto Challenge;;;Conference;Cancelled;
ASRG-D;Glitching;Thomas Roth;Level Down;Meeting;Open;
ASRG-TLV;"Meeting 2: Machine Learning Based Vulnerabilities & ECU Attacks
";Shir Mousseri, Slava Bronfman;AWS (Amazon);Meeting;Completed;
ASRG-TLV;Meeting 4: ;TBD;Google;Meeting;In Plan;
ASRG-TLV;CTF (Bsides-TLV June/2020);TBD;Cyberweek TLV (Bsides TLV 2020);CTF;In Plan;
ASRG-S;Meeting 10: Canceled;;;Meeting;Open;
ASRG-S;Meeting XX: Wie das Internet of Things und unsichere APIs die neue Cyber-Front bilden (30min);Eberhard Scheuble;;Meeting;Open;
ASRG-S;Meeting XX: Demo from Dirk???;Dirk Targoni;;Meeting;Open;
ASRG-S;Meeting XX: Hardware Hacking with IBM's Red Team;Adam Laurie;IBM;Meeting;Open;
ASRG-S;HitB;;;Conference;Cancelled;
ASRG-S;HitB;;;Conference;Cancelled;
ASRG-S;Glitching;Thomas Roth;Level Down;Meeting;Open;
ASRG-S;TU Automotive;;;Conference;Cancelled;
ASRG-S;Hardwear.io Security Conference Netherlands 2020;;;Conference;Open;01.10.20
ASRG-S;18th escar Europe;;;Conference;Open;11.11.20
ASRG-S;Troopers;;;Conference;Cancelled;
ASRG-S;Workshop Risk Assessment of Real-Life Automotive Software. Work-on with real example;tbd;Cybellum;Workshop;Open;
ASRG-WORLD;Automotive Network Mapping Scanner;Nils;OTH;Webinar;Open;
